match_id,year,cup_name,round,date,team1,team2,team1_score,team2_score,team1_ht_score,team2_ht_score,group,ground
1930_1,1930,World Cup 1930,Matchday 1,1930-07-13,France,Mexico,4.0,1.0,3.0,0.0,Group 1,"Estadio Pocitos, Montevideo"
1930_2,1930,World Cup 1930,Matchday 3,1930-07-15,Argentina,France,1.0,0.0,0.0,0.0,Group 1,"Estadio Parque Central, Montevideo"
1930_3,1930,World Cup 1930,Matchday 4,1930-07-16,Chile,Mexico,3.0,0.0,1.0,0.0,Group 1,"Estadio Parque Central, Montevideo"
1930_4,1930,World Cup 1930,Matchday 7,1930-07-19,Chile,France,1.0,0.0,0.0,0.0,Group 1,"Estadio Centenario, Montevideo"
1930_5,1930,World Cup 1930,Matchday 7,1930-07-19,Argentina,Mexico,6.0,3.0,3.0,1.0,Group 1,"Estadio Centenario, Montevideo"
1930_6,1930,World Cup 1930,Matchday 10,1930-07-22,Argentina,Chile,3.0,1.0,2.0,1.0,Group 1,"Estadio Centenario, Montevideo"
1930_7,1930,World Cup 1930,Matchday 2,1930-07-14,Yugoslavia,Brazil,2.0,1.0,2.0,0.0,Group 2,"Estadio Parque Central, Montevideo"
1930_8,1930,World Cup 1930,Matchday 5,1930-07-17,Yugoslavia,Bolivia,4.0,0.0,0.0,0.0,Group 2,"Estadio Parque Central, Montevideo"
1930_9,1930,World Cup 1930,Matchday 8,1930-07-20,Brazil,Bolivia,4.0,0.0,1.0,0.0,Group 2,"Estadio Centenario, Montevideo"
1930_10,1930,World Cup 1930,Matchday 2,1930-07-14,Romania,Peru,3.0,1.0,1.0,0.0,Group 3,"Estadio Pocitos, Montevideo"
1930_11,1930,World Cup 1930,Matchday 6,1930-07-18,Uruguay,Peru,1.0,0.0,0.0,0.0,Group 3,"Estadio Centenario, Montevideo"
1930_12,1930,World Cup 1930,Matchday 9,1930-07-21,Uruguay,Romania,4.0,0.0,4.0,0.0,Group 3,"Estadio Centenario, Montevideo"
1930_13,1930,World Cup 1930,Matchday 1,1930-07-13,United States,Belgium,3.0,0.0,2.0,0.0,Group 4,"Estadio Parque Central, Montevideo"
1930_14,1930,World Cup 1930,Matchday 5,1930-07-17,United States,Paraguay,3.0,0.0,2.0,0.0,Group 4,"Estadio Parque Central, Montevideo"
1930_15,1930,World Cup 1930,Matchday 8,1930-07-20,Paraguay,Belgium,1.0,0.0,1.0,0.0,Group 4,"Estadio Centenario, Montevideo"
1930_16,1930,World Cup 1930,Semi-finals,1930-07-26,Argentina,United States,6.0,1.0,1.0,0.0,,"Estadio Centenario, Montevideo"
1930_17,1930,World Cup 1930,Semi-finals,1930-07-27,Uruguay,Yugoslavia,6.0,1.0,3.0,1.0,,"Estadio Centenario, Montevideo"
1930_18,1930,World Cup 1930,Final,1930-07-30,Uruguay,Argentina,4.0,2.0,1.0,2.0,,"Estadio Centenario, Montevideo"
1934_1,1934,World Cup 1934,Preliminary round,1934-05-27,Sweden,Argentina,3.0,2.0,1.0,1.0,,"Stadio Littoriale, Bologna"
1934_2,1934,World Cup 1934,Preliminary round,1934-05-27,Austria,France,1.0,1.0,1.0,1.0,,"Stadio Benito Mussolini, Turin"
1934_3,1934,World Cup 1934,Preliminary round,1934-05-27,Germany,Belgium,5.0,2.0,1.0,2.0,,"Stadio Giovanni Berta, Florence"
