ranking_position,team,games,wins,draws,losses,goals_for,goals_against,goal_difference,win_rate,goals_per_game,goals_against_per_game,ranking_score
1,Brazil,114,76,19,19,237,108,129,0.6666666666666666,2.0789473684210527,0.9473684210526316,259.9
2,Germany,112,68,21,23,232,130,102,0.6071428571428571,2.0714285714285716,1.1607142857142858,235.2
3,Argentina,88,47,17,24,152,101,51,0.5340909090909091,1.7272727272727273,1.1477272727272727,163.1
4,Italy,83,45,21,17,128,77,51,0.5421686746987951,1.5421686746987953,0.927710843373494,161.1
5,France,73,39,14,20,136,85,51,0.5342465753424658,1.8630136986301369,1.1643835616438356,136.1
6,England,74,32,22,20,104,68,36,0.4324324324324324,1.4054054054054057,0.918918918918919,121.6
7,Spain,67,31,17,19,108,75,33,0.4626865671641791,1.611940298507463,1.1194029850746268,113.3
8,Netherlands,55,30,14,11,96,52,44,0.5454545454545454,1.7454545454545454,0.9454545454545454,108.4
9,Uruguay,59,25,13,21,89,76,13,0.423728813559322,1.5084745762711864,1.2881355932203389,89.3
10,Belgium,51,21,10,20,69,74,-5,0.4117647058823529,1.3529411764705883,1.4509803921568627,72.5
11,Sweden,51,19,13,19,80,73,7,0.3725490196078431,1.568627450980392,1.431372549019608,70.7
12,Russia,45,19,10,16,77,54,23,0.4222222222222222,1.711111111111111,1.2,69.3
13,Serbia,46,18,9,19,69,61,8,0.391304347826087,1.5,1.326086956521739,63.8
14,Mexico,60,17,15,28,62,101,-39,0.2833333333333333,1.0333333333333334,1.6833333333333331,62.1
15,Portugal,35,17,6,12,61,41,20,0.4857142857142857,1.7428571428571429,1.1714285714285717,59.0
16,Poland,38,17,6,15,49,50,-1,0.4473684210526316,1.2894736842105263,1.3157894736842106,56.9
17,Hungary,32,15,3,14,87,57,30,0.46875,2.71875,1.78125,51.0
18,Switzerland,41,14,8,19,55,73,-18,0.3414634146341463,1.3414634146341464,1.7804878048780488,48.2
19,Croatia,30,13,8,9,43,33,10,0.4333333333333333,1.4333333333333331,1.1,48.0
20,Czech Republic,33,12,5,16,47,49,-2,0.3636363636363636,1.4242424242424243,1.4848484848484849,40.8
21,Austria,29,12,4,13,43,47,-4,0.4137931034482758,1.4827586206896552,1.6206896551724137,39.6
22,Chile,33,11,7,15,40,49,-9,0.3333333333333333,1.2121212121212122,1.4848484848484849,39.1
23,Denmark,23,9,6,8,31,29,2,0.391304347826087,1.3478260869565215,1.2608695652173914,33.2
24,Paraguay,27,7,10,10,30,38,-8,0.2592592592592592,1.1111111111111112,1.4074074074074074,30.2
25,Colombia,22,9,3,10,32,30,2,0.4090909090909091,1.4545454545454546,1.3636363636363635,30.2
26,Romania,21,8,5,8,30,32,-2,0.3809523809523809,1.4285714285714286,1.5238095238095235,28.8
27,South Korea,38,7,10,21,39,78,-39,0.1842105263157894,1.0263157894736843,2.0526315789473686,27.1
28,Japan,25,7,6,12,25,33,-8,0.28,1.0,1.32,26.2
29,USA,27,6,8,13,26,37,-11,0.2222222222222222,0.9629629629629628,1.3703703703703705,24.9
30,Costa Rica,21,6,5,10,22,39,-17,0.2857142857142857,1.0476190476190477,1.8571428571428572,21.3
31,Morocco,23,5,7,11,20,27,-7,0.217391304347826,0.8695652173913043,1.173913043478261,21.3
32,Cameroon,26,5,8,13,22,47,-25,0.1923076923076923,0.8461538461538461,1.8076923076923077,20.5
33,Nigeria,21,6,3,12,23,30,-7,0.2857142857142857,1.0952380952380951,1.4285714285714286,20.3
34,Senegal,12,5,3,4,16,17,-1,0.4166666666666667,1.3333333333333333,1.4166666666666667,17.9
35,Ghana,15,5,3,7,18,23,-5,0.3333333333333333,1.2,1.5333333333333334,17.5
36,Scotland,23,4,7,12,25,41,-16,0.1739130434782608,1.0869565217391304,1.7826086956521738,17.4
37,Ecuador,13,5,2,6,14,14,0,0.3846153846153846,1.0769230769230769,1.0769230769230769,17.0
38,Peru,18,5,3,10,21,33,-12,0.2777777777777778,1.1666666666666667,1.8333333333333333,16.8
39,Turkey,10,5,1,4,20,17,3,0.5,2.0,1.7,16.3
40,Australia,20,4,4,12,17,37,-20,0.2,0.85,1.85,14.0
41,Ireland,13,2,8,3,10,10,0,0.1538461538461538,0.7692307692307693,0.7692307692307693,14.0
42,Bulgaria,26,3,8,15,22,53,-31,0.1153846153846153,0.8461538461538461,2.0384615384615383,13.9
43,Northern Ireland,13,3,5,5,13,23,-10,0.2307692307692307,1.0,1.7692307692307692,13.0
44,Tunisia,18,3,5,10,14,26,-12,0.1666666666666666,0.7777777777777778,1.4444444444444444,12.8
45,Algeria,13,3,3,7,13,19,-6,0.2307692307692307,1.0,1.4615384615384617,11.4
46,Iran,18,3,4,11,13,31,-18,0.1666666666666666,0.7222222222222222,1.7222222222222223,11.2
47,Saudi Arabia,19,4,2,13,14,44,-30,0.2105263157894736,0.7368421052631579,2.3157894736842106,11.0
48,Côte d'Ivoire,9,3,1,5,13,14,-1,0.3333333333333333,1.4444444444444444,1.5555555555555556,9.9
49,South Africa,9,2,4,3,11,16,-5,0.2222222222222222,1.2222222222222223,1.7777777777777777,9.5
50,Norway,8,2,3,3,7,8,-1,0.25,0.875,1.0,8.9
51,East Germany,6,2,2,2,5,5,0,0.3333333333333333,0.8333333333333334,0.8333333333333334,8.0
52,United States,10,3,0,7,14,29,-15,0.3,1.4,2.9,7.5
53,Ukraine,5,2,1,2,5,7,-2,0.4,1.0,1.4,6.8
54,Greece,10,2,2,6,5,20,-15,0.2,0.5,2.0,6.5
55,Wales,8,1,4,3,5,10,-5,0.125,0.625,1.25,6.5
56,Slovakia,4,1,1,2,5,7,-2,0.25,1.25,1.75,3.8
57,Slovenia,6,1,1,4,5,10,-5,0.1666666666666666,0.8333333333333334,1.6666666666666667,3.5
58,Cuba,3,1,1,1,5,12,-7,0.3333333333333333,1.6666666666666667,4.0,3.3
59,Bosnia-Herzegovina,3,1,0,2,4,4,0,0.3333333333333333,1.3333333333333333,1.3333333333333333,3.0
60,North Korea,7,1,1,5,6,21,-15,0.1428571428571428,0.8571428571428571,3.0,2.5
61,Jamaica,3,1,0,2,3,9,-6,0.3333333333333333,1.0,3.0,2.4
62,New Zealand,6,0,3,3,4,14,-10,0.0,0.6666666666666666,2.3333333333333335,2.0
63,Angola,3,0,2,1,1,2,-1,0.0,0.3333333333333333,0.6666666666666666,1.9
64,Honduras,9,0,3,6,3,14,-11,0.0,0.3333333333333333,1.5555555555555556,1.9
65,Israel,3,0,2,1,1,3,-2,0.0,0.3333333333333333,1.0,1.8
66,Egypt,7,0,2,5,5,12,-7,0.0,0.7142857142857143,1.7142857142857142,1.2999999999999998
67,Iceland,3,0,1,2,2,5,-3,0.0,0.6666666666666666,1.6666666666666667,0.7
68,Trinidad and Tobago,3,0,1,2,0,4,-4,0.0,0.0,1.3333333333333333,0.6
69,Kuwait,3,0,1,2,2,6,-4,0.0,0.6666666666666666,2.0,0.6
70,Iraq,3,0,0,3,1,4,-3,0.0,0.3333333333333333,1.3333333333333333,-0.30000000000000004
71,Togo,3,0,0,3,1,6,-5,0.0,0.3333333333333333,2.0,-0.5
72,Dutch East Indies,1,0,0,1,0,6,-6,0.0,0.0,6.0,-0.6000000000000001
73,Qatar,3,0,0,3,1,7,-6,0.0,0.3333333333333333,2.3333333333333335,-0.6000000000000001
74,Serbia and Montenegro,3,0,0,3,2,10,-8,0.0,0.6666666666666666,3.3333333333333335,-0.8
75,United Arab Emirates,3,0,0,3,2,11,-9,0.0,0.6666666666666666,3.6666666666666665,-0.9
76,China,3,0,0,3,0,9,-9,0.0,0.0,3.0,-0.9
77,Panama,3,0,0,3,2,11,-9,0.0,0.6666666666666666,3.6666666666666665,-0.9
78,Bolivia,6,0,1,5,1,20,-19,0.0,0.1666666666666666,3.3333333333333335,-0.9000000000000001
79,Canada,6,0,0,6,2,12,-10,0.0,0.3333333333333333,2.0,-1.0
80,Haiti,3,0,0,3,2,14,-12,0.0,0.6666666666666666,4.666666666666667,-1.2000000000000002
81,Zaire,3,0,0,3,0,14,-14,0.0,0.0,4.666666666666667,-1.4000000000000001
82,El Salvador,6,0,0,6,1,22,-21,0.0,0.1666666666666666,3.6666666666666665,-2.1
