group,team,points,wins,draws,losses,games,group_position
Group A,Czech Republic,9,3,0,0,3,1
Group A,Mexico,6,2,0,1,3,2
Group A,South Africa,3,1,0,2,3,3
Group A,South Korea,0,0,0,3,3,4
Group B,Switzerland,9,3,0,0,3,1
Group B,Bosnia & Herzegovina,6,2,0,1,3,2
Group B,Qatar,3,1,0,2,3,3
Group B,Canada,0,0,0,3,3,4
Group C,Brazil,9,3,0,0,3,1
Group C,Morocco,4,1,1,1,3,2
Group C,Scotland,4,1,1,1,3,3
Group C,Haiti,0,0,0,3,3,4
Group D,Turkey,9,3,0,0,3,1
Group D,Paraguay,4,1,1,1,3,2
Group D,USA,2,0,2,1,3,3
Group D,Australia,1,0,1,2,3,4
Group E,Germany,9,3,0,0,3,1
Group E,Ecuador,6,2,0,1,3,2
Group E,Curaçao,3,1,0,2,3,3
Group E,Ivory Coast,0,0,0,3,3,4
Group F,Netherlands,9,3,0,0,3,1
Group F,Sweden,6,2,0,1,3,2
Group F,Japan,1,0,1,2,3,3
Group F,Tunisia,1,0,1,2,3,4
Group G,Belgium,9,3,0,0,3,1
Group G,Iran,4,1,1,1,3,2
Group G,Egypt,2,0,2,1,3,3
Group G,New Zealand,1,0,1,2,3,4
Group H,Uruguay,9,3,0,0,3,1
Group H,Spain,6,2,0,1,3,2
Group H,Cape Verde,3,1,0,2,3,3
Group H,Saudi Arabia,0,0,0,3,3,4
Group I,France,9,3,0,0,3,1
Group I,Senegal,6,2,0,1,3,2
Group I,Norway,3,1,0,2,3,3
Group I,Iraq,0,0,0,3,3,4
Group J,Argentina,9,3,0,0,3,1
Group J,Austria,6,2,0,1,3,2
Group J,Jordan,3,1,0,2,3,3
Group J,Algeria,0,0,0,3,3,4
Group K,Colombia,9,3,0,0,3,1
Group K,Portugal,6,2,0,1,3,2
Group K,DR Congo,3,1,0,2,3,3
Group K,Uzbekistan,0,0,0,3,3,4
Group L,England,9,3,0,0,3,1
Group L,Croatia,6,2,0,1,3,2
Group L,Ghana,3,1,0,2,3,3
Group L,Panama,0,0,0,3,3,4
