match_id,match_num,year,cup_name,round,date,time,team1,team2,team1_normalized,team2_normalized,team1_score_final,team2_score_final,total_goals_final,winner,loser,is_draw,goal_difference,group,ground,status,match_played,has_goals_events
1930_1,,1930,World Cup 1930,Matchday 1,1930-07-13,,France,Mexico,France,Mexico,4.0,1.0,5.0,France,Mexico,False,3.0,Group 1,"Estadio Pocitos, Montevideo",played,True,True
1930_2,,1930,World Cup 1930,Matchday 3,1930-07-15,,Argentina,France,Argentina,France,1.0,0.0,1.0,Argentina,France,False,1.0,Group 1,"Estadio Parque Central, Montevideo",played,True,True
1930_3,,1930,World Cup 1930,Matchday 4,1930-07-16,,Chile,Mexico,Chile,Mexico,3.0,0.0,3.0,Chile,Mexico,False,3.0,Group 1,"Estadio Parque Central, Montevideo",played,True,True
1930_4,,1930,World Cup 1930,Matchday 7,1930-07-19,,Chile,France,Chile,France,1.0,0.0,1.0,Chile,France,False,1.0,Group 1,"Estadio Centenario, Montevideo",played,True,True
1930_5,,1930,World Cup 1930,Matchday 7,1930-07-19,,Argentina,Mexico,Argentina,Mexico,6.0,3.0,9.0,Argentina,Mexico,False,3.0,Group 1,"Estadio Centenario, Montevideo",played,True,True
1930_6,,1930,World Cup 1930,Matchday 10,1930-07-22,,Argentina,Chile,Argentina,Chile,3.0,1.0,4.0,Argentina,Chile,False,2.0,Group 1,"Estadio Centenario, Montevideo",played,True,True
1930_7,,1930,World Cup 1930,Matchday 2,1930-07-14,,Yugoslavia,Brazil,Serbia,Brazil,2.0,1.0,3.0,Serbia,Brazil,False,1.0,Group 2,"Estadio Parque Central, Montevideo",played,True,True
1930_8,,1930,World Cup 1930,Matchday 5,1930-07-17,,Yugoslavia,Bolivia,Serbia,Bolivia,4.0,0.0,4.0,Serbia,Bolivia,False,4.0,Group 2,"Estadio Parque Central, Montevideo",played,True,True
1930_9,,1930,World Cup 1930,Matchday 8,1930-07-20,,Brazil,Bolivia,Brazil,Bolivia,4.0,0.0,4.0,Brazil,Bolivia,False,4.0,Group 2,"Estadio Centenario, Montevideo",played,True,True
1930_10,,1930,World Cup 1930,Matchday 2,1930-07-14,,Romania,Peru,Romania,Peru,3.0,1.0,4.0,Romania,Peru,False,2.0,Group 3,"Estadio Pocitos, Montevideo",played,True,True
