team,games,goals_for,goals_against,goal_difference,wins,draws,losses,win_rate,goals_per_game,goals_against_per_game
Brazil,114,237,108,129,76,19,19,0.6666666666666666,2.0789473684210527,0.9473684210526315
Germany,112,232,130,102,68,21,23,0.6071428571428571,2.0714285714285716,1.1607142857142858
Argentina,88,152,101,51,47,17,24,0.5340909090909091,1.7272727272727273,1.1477272727272727
France,73,136,85,51,39,14,20,0.5342465753424658,1.8630136986301369,1.1643835616438356
Italy,83,128,77,51,45,21,17,0.5421686746987951,1.5421686746987953,0.927710843373494
Spain,67,108,75,33,31,17,19,0.4626865671641791,1.6119402985074627,1.1194029850746268
England,74,104,68,36,32,22,20,0.43243243243243246,1.4054054054054055,0.918918918918919
Netherlands,55,96,52,44,30,14,11,0.5454545454545454,1.7454545454545454,0.9454545454545454
Uruguay,59,89,76,13,25,13,21,0.423728813559322,1.5084745762711864,1.2881355932203389
Hungary,32,87,57,30,15,3,14,0.46875,2.71875,1.78125
Sweden,51,80,73,7,19,13,19,0.37254901960784315,1.5686274509803921,1.4313725490196079
Russia,45,77,54,23,19,10,16,0.4222222222222222,1.711111111111111,1.2
Belgium,51,69,74,-5,21,10,20,0.4117647058823529,1.3529411764705883,1.4509803921568627
Serbia,46,69,61,8,18,9,19,0.391304347826087,1.5,1.326086956521739
Mexico,60,62,101,-39,17,15,28,0.2833333333333333,1.0333333333333334,1.6833333333333333
Portugal,35,61,41,20,17,6,12,0.4857142857142857,1.7428571428571429,1.1714285714285715
Switzerland,41,55,73,-18,14,8,19,0.34146341463414637,1.3414634146341464,1.7804878048780488
Poland,38,49,50,-1,17,6,15,0.4473684210526316,1.2894736842105263,1.3157894736842106
Czech Republic,33,47,49,-2,12,5,16,0.36363636363636365,1.4242424242424243,1.4848484848484849
Croatia,30,43,33,10,13,8,9,0.43333333333333335,1.4333333333333333,1.1
Austria,29,43,47,-4,12,4,13,0.41379310344827586,1.4827586206896552,1.6206896551724137
Chile,33,40,49,-9,11,7,15,0.3333333333333333,1.2121212121212122,1.4848484848484849
South Korea,38,39,78,-39,7,10,21,0.18421052631578946,1.0263157894736843,2.0526315789473686
Colombia,22,32,30,2,9,3,10,0.4090909090909091,1.4545454545454546,1.3636363636363635
Denmark,23,31,29,2,9,6,8,0.391304347826087,1.3478260869565217,1.2608695652173914
Romania,21,30,32,-2,8,5,8,0.38095238095238093,1.4285714285714286,1.5238095238095237
Paraguay,27,30,38,-8,7,10,10,0.25925925925925924,1.1111111111111112,1.4074074074074074
USA,27,26,37,-11,6,8,13,0.2222222222222222,0.9629629629629629,1.3703703703703705
Japan,25,25,33,-8,7,6,12,0.28,1.0,1.32
Scotland,23,25,41,-16,4,7,12,0.17391304347826086,1.0869565217391304,1.7826086956521738
Nigeria,21,23,30,-7,6,3,12,0.2857142857142857,1.0952380952380953,1.4285714285714286
Costa Rica,21,22,39,-17,6,5,10,0.2857142857142857,1.0476190476190477,1.8571428571428572
Cameroon,26,22,47,-25,5,8,13,0.19230769230769232,0.8461538461538461,1.8076923076923077
Bulgaria,26,22,53,-31,3,8,15,0.11538461538461539,0.8461538461538461,2.0384615384615383
Peru,18,21,33,-12,5,3,10,0.2777777777777778,1.1666666666666667,1.8333333333333333
Morocco,23,20,27,-7,5,7,11,0.21739130434782608,0.8695652173913043,1.173913043478261
Turkey,10,20,17,3,5,1,4,0.5,2.0,1.7
Ghana,15,18,23,-5,5,3,7,0.3333333333333333,1.2,1.5333333333333334
Australia,20,17,37,-20,4,4,12,0.2,0.85,1.85
Senegal,12,16,17,-1,5,3,4,0.4166666666666667,1.3333333333333333,1.4166666666666667
Ecuador,13,14,14,0,5,2,6,0.38461538461538464,1.0769230769230769,1.0769230769230769
Saudi Arabia,19,14,44,-30,4,2,13,0.21052631578947367,0.7368421052631579,2.3157894736842106
Tunisia,18,14,26,-12,3,5,10,0.16666666666666666,0.7777777777777778,1.4444444444444444
United States,10,14,29,-15,3,0,7,0.3,1.4,2.9
Algeria,13,13,19,-6,3,3,7,0.23076923076923078,1.0,1.4615384615384615
Côte d'Ivoire,9,13,14,-1,3,1,5,0.3333333333333333,1.4444444444444444,1.5555555555555556
Iran,18,13,31,-18,3,4,11,0.16666666666666666,0.7222222222222222,1.7222222222222223
Northern Ireland,13,13,23,-10,3,5,5,0.23076923076923078,1.0,1.7692307692307692
South Africa,9,11,16,-5,2,4,3,0.2222222222222222,1.2222222222222223,1.7777777777777777
Ireland,13,10,10,0,2,8,3,0.15384615384615385,0.7692307692307693,0.7692307692307693
Norway,8,7,8,-1,2,3,3,0.25,0.875,1.0
North Korea,7,6,21,-15,1,1,5,0.14285714285714285,0.8571428571428571,3.0
East Germany,6,5,5,0,2,2,2,0.3333333333333333,0.8333333333333334,0.8333333333333334
Greece,10,5,20,-15,2,2,6,0.2,0.5,2.0
Ukraine,5,5,7,-2,2,1,2,0.4,1.0,1.4
Cuba,3,5,12,-7,1,1,1,0.3333333333333333,1.6666666666666667,4.0
Slovakia,4,5,7,-2,1,1,2,0.25,1.25,1.75
Slovenia,6,5,10,-5,1,1,4,0.16666666666666666,0.8333333333333334,1.6666666666666667
Wales,8,5,10,-5,1,4,3,0.125,0.625,1.25
Egypt,7,5,12,-7,0,2,5,0.0,0.7142857142857143,1.7142857142857142
Bosnia-Herzegovina,3,4,4,0,1,0,2,0.3333333333333333,1.3333333333333333,1.3333333333333333
New Zealand,6,4,14,-10,0,3,3,0.0,0.6666666666666666,2.3333333333333335
Jamaica,3,3,9,-6,1,0,2,0.3333333333333333,1.0,3.0
Honduras,9,3,14,-11,0,3,6,0.0,0.3333333333333333,1.5555555555555556
Canada,6,2,12,-10,0,0,6,0.0,0.3333333333333333,2.0
Haiti,3,2,14,-12,0,0,3,0.0,0.6666666666666666,4.666666666666667
Iceland,3,2,5,-3,0,1,2,0.0,0.6666666666666666,1.6666666666666667
Kuwait,3,2,6,-4,0,1,2,0.0,0.6666666666666666,2.0
Panama,3,2,11,-9,0,0,3,0.0,0.6666666666666666,3.6666666666666665
Serbia and Montenegro,3,2,10,-8,0,0,3,0.0,0.6666666666666666,3.3333333333333335
United Arab Emirates,3,2,11,-9,0,0,3,0.0,0.6666666666666666,3.6666666666666665
