year,cup_name,games,goals,avg_goals_per_game,max_goals_in_match
1930,World Cup 1930,18,70.0,3.888888888888889,9.0
1934,World Cup 1934,17,70.0,4.117647058823529,8.0
1938,World Cup 1938,18,84.0,4.666666666666667,11.0
1950,World Cup 1950,22,88.0,4.0,8.0
1954,World Cup 1954,26,140.0,5.384615384615385,12.0
1958,World Cup 1958,35,126.0,3.6,10.0
1962,World Cup 1962,32,89.0,2.78125,8.0
1966,World Cup 1966,32,89.0,2.78125,8.0
1970,World Cup 1970,32,95.0,2.96875,7.0
1974,World Cup 1974,38,97.0,2.5526315789473686,9.0
1978,World Cup 1978,38,102.0,2.6842105263157894,6.0
1982,World Cup 1982,52,146.0,2.8076923076923075,11.0
1986,World Cup 1986,52,132.0,2.5384615384615383,7.0
1990,World Cup 1990,52,115.0,2.2115384615384617,6.0
1994,World Cup 1994,52,141.0,2.7115384615384617,7.0
1998,World Cup 1998,64,171.0,2.671875,7.0
2002,World Cup 2002,64,161.0,2.515625,8.0
2006,World Cup 2006,64,147.0,2.296875,6.0
2010,World Cup 2010,64,145.0,2.265625,7.0
2014,World Cup 2014,64,171.0,2.671875,8.0
2018,World Cup 2018,64,169.0,2.640625,7.0
2022,World Cup 2022,64,172.0,2.6875,8.0
